code,region,pop
46230,전라남도 광양시,150531
46710,전라남도 담양군,46180
46720,전라남도 곡성군,27535
46730,전라남도 구례군,25235
46770,전라남도 고흥군,62762
46780,전라남도 보성군,39375
46790,전라남도 화순군,62624
46800,전라남도 장흥군,36547
46810,전라남도 강진군,33753
46820,전라남도 해남군,67166
46830,전라남도 영암군,52937
46840,전라남도 무안군,91107
46860,전라남도 함평군,31274
46870,전라남도 영광군,51985
46880,전라남도 장성군,43365
46890,전라남도 완도군,48631
46900,전라남도 진도군,30066
46910,전라남도 신안군,38217
47,경상북도,2626609
47110,경상북도 포항시,503852
47111,경상북도 포항시 남구,230801
47113,경상북도 포항시 북구,273051
47130,경상북도 경주시,251889
47150,경상북도 김천시,140239
47170,경상북도 안동시,156972
47190,경상북도 구미시,412581
47210,경상북도 영주시,101942
47230,경상북도 영천시,101888
47250,경상북도 상주시,95566
47280,경상북도 문경시,71154
47290,경상북도 경산시,268369
47720,경상북도 군위군,22945
47730,경상북도 의성군,50632
47750,경상북도 청송군,24539
47760,경상북도 영양군,16320
47770,경상북도 영덕군,35314
47820,경상북도 청도군,41891
47830,경상북도 고령군,30626
47840,경상북도 성주군,42842
47850,경상북도 칠곡군,113822
47900,경상북도 예천군,55739
47920,경상북도 봉화군,30762
47930,경상북도 울진군,47858
47940,경상북도 울릉군,8867
48,경상남도,3314183
48120,경상남도 창원시,1032741
48121,경상남도 창원시 의창구,218027
48123,경상남도 창원시 성산구,251562
48125,경상남도 창원시 마산합포구,181322
48127,경상남도 창원시 마산회원구,186881
48129,경상남도 창원시 진해구,194949
48170,경상남도 진주시,347097
48220,경상남도 통영시,125383
48240,경상남도 사천시,109953
48250,경상남도 김해시,537673
48270,경상남도 밀양시,103525
48310,경상남도 거제시,241216
48330,경상남도 양산시,354726
48720,경상남도 의령군,26322
48730,경상남도 함안군,62547
48740,경상남도 창녕군,60129
48820,경상남도 고성군,50478
48840,경상남도 남해군,42266
48850,경상남도 하동군,43449
48860,경상남도 산청군,34360
48870,경상남도 함양군,38310
48880,경상남도 거창군,61073
48890,경상남도 합천군,42935
50,제주특별자치도,676759
50110,제주특별자치도 제주시,493096
50130,제주특별자치도 서귀포시,183663
